full_path,marginal_labels
./PNGImages/000004.png,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
./PNGImages/000006.png,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
./PNGImages/000008.png,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
./PNGImages/000016.png,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
./PNGImages/000017.png,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
./PNGImages/000018.png,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
./PNGImages/000019.png,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
./PNGImages/000020.png,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
./PNGImages/000023.png,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
./PNGImages/000025.png,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
./PNGImages/000026.png,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
./PNGImages/000029.png,"[0, 1, 0, 0, 1, 0, 0, 0, 0, 0]"
./PNGImages/000031.png,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
./PNGImages/000032.png,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
./PNGImages/000034.png,"[0, 0, 1, 1, 1, 0, 0, 0, 0, 0]"
./PNGImages/000036.png,"[0, 1, 0, 0, 1, 0, 0, 0, 0, 0]"
./PNGImages/000037.png,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
./PNGImages/000040.png,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
./PNGImages/000041.png,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
./PNGImages/000044.png,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
./PNGImages/000046.png,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0]"
./PNGImages/000047.png,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
./PNGImages/000050.png,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
./PNGImages/000051.png,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
./PNGImages/000054.png,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
./PNGImages/000056.png,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
./PNGImages/000057.png,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
./PNGImages/000061.png,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
./PNGImages/000062.png,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
./PNGImages/000064.png,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
./PNGImages/000067.png,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
./PNGImages/000069.png,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
./PNGImages/000070.png,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
./PNGImages/000071.png,"[0, 1, 0, 0, 1, 0, 0, 0, 0, 0]"
./PNGImages/000073.png,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
./PNGImages/000074.png,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0]"
./PNGImages/000078.png,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
./PNGImages/000079.png,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0]"
./PNGImages/000082.png,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
./PNGImages/000083.png,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
./PNGImages/000086.png,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
./PNGImages/000087.png,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
./PNGImages/000091.png,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
./PNGImages/000092.png,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
./PNGImages/000094.png,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
./PNGImages/000096.png,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
./PNGImages/000097.png,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0]"
./PNGImages/000101.png,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
./PNGImages/000103.png,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
./PNGImages/000104.png,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
./PNGImages/000108.png,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
./PNGImages/000110.png,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
./PNGImages/000112.png,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
./PNGImages/000113.png,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
./PNGImages/000114.png,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0]"
./PNGImages/000115.png,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
./PNGImages/000116.png,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
./PNGImages/000117.png,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
./PNGImages/000120.png,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
./PNGImages/000121.png,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
./PNGImages/000122.png,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
./PNGImages/000124.png,"[0, 1, 0, 0, 1, 0, 0, 0, 0, 0]"
./PNGImages/000126.png,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
./PNGImages/000127.png,"[0, 0, 0, 1, 1, 0, 0, 0, 0, 0]"
./PNGImages/000128.png,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0]"
./PNGImages/000130.png,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
./PNGImages/000131.png,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0]"
./PNGImages/000132.png,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
./PNGImages/000134.png,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
./PNGImages/000136.png,"[0, 0, 1, 1, 0, 0, 0, 0, 0, 0]"
./PNGImages/000137.png,"[0, 0, 0, 1, 1, 1, 0, 0, 0, 0]"
./PNGImages/000138.png,"[0, 1, 0, 1, 1, 0, 0, 0, 0, 0]"
./PNGImages/000140.png,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
./PNGImages/000145.png,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
./PNGImages/000149.png,"[0, 0, 1, 1, 0, 0, 0, 0, 0, 0]"
./PNGImages/000150.png,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
./PNGImages/000151.png,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0]"
./PNGImages/000154.png,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
./PNGImages/000156.png,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
./PNGImages/000158.png,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
./PNGImages/000159.png,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
./PNGImages/000161.png,"[0, 0, 1, 1, 1, 0, 0, 0, 0, 0]"
./PNGImages/000162.png,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
./PNGImages/000167.png,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0]"
./PNGImages/000171.png,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
./PNGImages/000174.png,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
./PNGImages/000176.png,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
./PNGImages/000180.png,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
./PNGImages/000182.png,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
./PNGImages/000185.png,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
./PNGImages/000186.png,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
./PNGImages/000187.png,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
./PNGImages/000188.png,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
./PNGImages/000189.png,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
./PNGImages/000190.png,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
./PNGImages/000192.png,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
./PNGImages/000193.png,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
./PNGImages/000197.png,"[0, 0, 0, 1, 1, 0, 0, 0, 0, 0]"
./PNGImages/000198.png,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
./PNGImages/000199.png,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
./PNGImages/000200.png,"[1, 0, 0, 1, 1, 0, 0, 0, 0, 0]"
./PNGImages/000201.png,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
./PNGImages/000202.png,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0]"
./PNGImages/000207.png,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
./PNGImages/000208.png,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
./PNGImages/000210.png,"[0, 0, 1, 1, 1, 0, 0, 0, 0, 0]"
./PNGImages/000214.png,"[0, 1, 0, 0, 1, 0, 0, 0, 0, 0]"
./PNGImages/000215.png,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
./PNGImages/000216.png,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
./PNGImages/000219.png,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
./PNGImages/000220.png,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
./PNGImages/000221.png,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
./PNGImages/000223.png,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
./PNGImages/000224.png,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
./PNGImages/000227.png,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
./PNGImages/000229.png,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
./PNGImages/000230.png,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
./PNGImages/000231.png,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
./PNGImages/000233.png,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
./PNGImages/000238.png,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
./PNGImages/000241.png,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
./PNGImages/000242.png,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
./PNGImages/000243.png,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
./PNGImages/000245.png,"[0, 0, 1, 1, 1, 0, 0, 0, 0, 0]"
./PNGImages/000246.png,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
./PNGImages/000248.png,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
